Peter,Abbs,,,,,,
David,Acaster,,,,,,
Kerry,Adamthwaite,"At the time of publication, Kerry was the coordinator of TAS at Molong Central School. He  has lectured at both Sydney University and Charles Sturt University and has over 10 years experience in Design and Technology.",,,,,
Michael,Adcock,"At the time of publication, Michael was Head of History and Head of Humanities at Melbourne Grammar School. He has published a number of books on the French Revolution, including. Michael is a social and cultural historian who has lectured on modern French history in the History Department at the University of Melbourne.",,,,,
Fleur,Adcock,,,,,,
Robin,Adolphs,,,,,,
Judith,Affleck,,,,,,
Margaret,Allen,"At the time of publication, Margaret worked at the University of Adelaide and has been teaching and researching gender studies and history for 40 years.  Margaret has published on nineteenth-century Australian women writers and more recently has been researching links between India and Australia from c.1880-1940. She has worked on many committees, including those of the Senior Secondary Assessment Board of South Australia and History South Australia.",,,,,
Valerie,Allen ,,,,,,
Nic,Amy,"Nic Amy is Head of English at Wellington College, UK. He has taught English (formerly A1) in the IB Diploma Programme for a number of years both at Wellington and at St Dunstan's College in London, where he was also Head of English. He has taught in a variety of British state and independent schools.",,,,,
Richard,Andrews ,,,,,,
Denise,Arnold,"Denise  has more than 20 years experience teaching Mathematics in NSW and at the time of publication was Mathematics Coordinator at Patrician Brothers College in Blacktown, Sydney. She is also involved in the setting of external Mathematics Trial HSC Examination papers.",,,,,
Graham,Arnold,"At the time of publication, Graham was Mathematics Coordinator at Terra Sancta College in Quakers Hill, Sydney. He also lectures on HSC Mathematics courses and sets external Mathematics Trial HSC Examination papers.",,,,,
Kate,Ashdown,"At the time of publication, Kate was working as a criminal lawyer with the Commonwealth Director of Public Prosecutions and was completing her Master of Laws at Monash University.  Previously, Kate taught and coordinated VCE Legal Studies at Wesley College (Glen Waverley Campus).",,,,,
Josian,Astruc,Josian is a highly experienced teacher of senior VCE Mathematics. He has presented at both teacher and student seminars on Specialist Mathematics.,,,,,
Patrick,Atkinson,"At the time of publication, Patrick was the Head of H&PE at Villanova College in Brisbane for over eighteen years. He has also worked as a PE teacher, sports master and rugby coach in Ayr, North Queensland and in the north of England.  With fifteen years experience as a review panellist, Patrick has seen a range of approaches to the subject and has a good understanding of high quality assessment pieces. He has been actively involved with planning and presenting for ACHPER conferences, with a focus on drug education and related health issues. His other areas of interest include the sociocultural impact of physical activity and the gender issues that confront adolescents and the way in which these factors are reflected in broader society.",,,,,
Sue,Avery,The late Sue Avery was an experienced VCE Mathematics teacher and a key contributor to the Essential VCE Mathematic series. She conducted seminars on VCE preparation in Maths Methods and Specialist Maths and had also been involved in maths research work for the VCAA.,,,,,
Edith,Baer,,,,,,
Elspeth,Bain,,,,,,
Richard,Baines,"Richard has taught Drama and English in schools in Australia, Kenya and England, and has written and directed plays for school presentation for over thirty years. He has performed in pieces from classical theatre to musicals and vaudeville and co-written English and Drama school texts.",,,,,
Pat,Baldwin,,,,,,
Tom,Baldwin ,,,,,,
Colin,Bamford,,,,,,
Adrian,Barlow,,,,,,
Rahul,Barmanray,,,,,,
Andy,Barnard,,,,,,
Geoff,Barton,,,,,,
John,Barwick,John is an experienced teacher and widely published author in text books and children's fiction and non-fiction.,,,,,
Jenny,Barwick,Jenny is an experienced teacher and widely published author in text books and children's fiction and non-fiction.,,,,,
Dianne,Bates,,,,,,
Margaret,Bates,"Margaret is a highly experienced author and teacher of VCE Legal Studies.  She has been a member of the examining panel in VCE Legal Studies for many years, and at the time of publication was Assistant Principal, Sunbury College.",,,,,
Nicholas,Bates,"Nicholas is a highly experienced VCE Legal Studies teacher and former marker, vetter and examiner in this subject.  At the time of publication he was Head of School House, Melbourne Grammar School.",,,,,
Judith,Baxter ,,,,,,
Timothy,Baycroft,,,,,,
L. A.,Beaurline,,,,,,
Hilary,Beck,"At the time of publication, Hilary was a Project Officer within the School of Electrical Engineering and Computer Science at the Queensland University of Technology and was formerly a high school and TAFE teacher.  Over the past ten years she has been a key member of several projects in engineering education and has contributed to conference papers and journals on these topics. Her interests are in engineering education, particularly high school outreach and mentoring programs.   ",,,,,
Colin,Becker,"At the time of publication, Colin worked as a Mathematics and ITLT specialist at an independent boys＊ school in Adelaide. He has written for professional publications, presented at conferences and schools, and is actively involved in mathematics education.",,,,,
Patricia E.,Bell,,,,,,
Barbara,Bell,,,,,,
Chris,Bell,,,,,,
Marilyn,Bell ,,,,,,
Natalie,Bellis,"At the time of publication, Natalie taught English at The Peninsula School in Mt. Eliza, Victoria. She has a passion for curriculum design and exploring new texts with her students. She loves writing about teaching almost as much as she loves teaching and has published her reflections in a number of professional journals, as well as the AATE/Interface publications. ",,,,,
Sophie,Benkamoun ,,,,,,
Roy,Bennett,,,,,,
Mary,Berry,,,,,,
Helen,Bethune,,,,,,
David,Bevington ,"At the time of publication, David was the Phyllis Fay Horton Professor in the Humanities at the University of Chicago.",,,,,
Pamela,Bickley,,,,,,
Henry,Billings,,,,,,
Melissa,Billings,,,,,,
G.,Blakemore Evans ,,,,,,
Roy,Blatchford,,,,,,
Wendy,Blaxland,,,,,,
Lee,Bliss,,,,,,
Patricia,Blundell,"At the time of publication, Patricia was the Coordinating Chaplain at Griffith University. She completed a Master of Religious Education in 1999 and her PhD in 2007. She was the vice president of the Tertiary Campus Ministry Association and was chair of the Queensland branch of Religions for Peace.
",,,,,
Mara,Bormanis,"At the time of publication, Mara was a Psychology teacher at Lavalla Catholic College. Prior to this, she worked at Monash University teaching on-campus students, conducting Distance Education workshops and assessing off-shore student coursework. Mara has also been a presenter at conferences, and a delegate at international Neuroscience meetings and has taken original psychological research to a scientific forum in Mexico City.  Mara has been nominated for The Prime Minister＊s Prize for Excellence in Science Teaching in Secondary Schools in 2009.",,,,,
Jean,Bottaro,"Jean Bottaro teaches South African, African and Modern World History in South Africa. She is an experienced examiner and moderator and the author of numerous history textbooks.",,,,,
Gregory,Bowden,"Gregory is a highly experienced and popular author of many secondary Information Technology texts. At the time of publication, he was the Information Systems Manager and Information Technology Coordinator for a major government secondary school. ",,,,,
Michael,Bowden,"Michael has been teaching in the Art and Fashion Design faculties at St Albans Secondary College since 1985. In addition to teaching, Michael has had a successful career as a painter and is represented by galleries in both Melbourne and London. Michael＊s works are currently in collections in Dublin, London, New York, Dubai and Tokyo. Since 1995 he has worked as a VCE Studio Arts assessor and has been marking written exams since 1999. ",,,,,
Richard,Bowman,"At the time of publication, Rick taught at Brisbane Girls Grammar. He is an experienced author of junior secondary mathematics resources.",,,,,
Rick,Bowman,"At the time of publication, Rick taught at Brisbane Girls Grammar. He is an experienced author of junior secondary mathematics resources.",,,,,
Sydney,Boydell,"Sydney has had a long association with the current Year 12 Physics course, ranging from course design and classroom teaching to involvement with setting and marking the external examinations. He has also served as Chairman of the Examinations Setting Panel.",,,,,
Catherine,Bradley,"Catherine is an experienced Year 9 and 10 science teacher. Through committee memberships, she is happily involved in the local science educators＊ community and her desire to educate and instill a sense of pride of the uniqueness of Aotearoa prompted her to contribute to this series. At the time of publication, Catherine was teaching at Milson Primary School.",,,,,
Pamela,Bradley,Pamela has over 30 years experience in teaching history and is the author of a number of highly successful secondary textbooks published by Cambridge University Press.,,,,,
Robert,Braidwood,,,,,,
Nicholas,Brasch,,,,,,
Professor A. R.,Braunmuller ,"At the time of publication, Albert was Professor of English at the University of California in Los Angeles.",,,,,
Sean,Brawley,"At the time of publciation, Sean was a Senior Lecturer in History at the University of New South Wales where he taught and wrote on the Pacific War. ",,,,,
Ray,Breed,"Ray has extensive experience in the areas of sports coaching and PE teacher education, biomechanics, skill acquisition and game sense. At the time of publication, Ray oversaw the Sport Science research and training program at the North Melbourne Football Club in the AFL in his role as High Performance Manager. He also has many years of experience in teaching and lecturing PE and sport in primary, secondary and tertiary education, both in Australia and the UK. Ray also regularly conducts professional development sessions for teachers in schools and coaches in various sports.",,,,,
Sue,Bremner,"Sue trained as a primary school teacher. She has worked as a classroom teacher, an English as a second Language (ESL) teacher as well as a consultant, teacher-educator and policy adviser in compulsory education for many years. Sue has produced a number of well-received materials, in paper and electronic form, designed for busy educators. She maintains a passion for the teaching of literacy, and grammar in particular, to younger learners.",,,,,
Melissa,Bright,,,,,,
Ian,Brinton,,,,,,
Rebecca,Brock,"Rebecca has taught Legal Studies, SOSE, Junior and Senior Business, and Computing in Mount Isa.",,,,,
Philip,Brockbank ,,,,,,
