,Out of Stock Australia,Do not use
@AE,RF Dept Appl Economics,"Refer to Dept of Applied Economics, Sidgwick Avenue, Cambridge CB3 9DE"
@AH,RF Alistair Hayes,"Refer to:Alastair Hayes, Cambridge Uni  Press, Shaftesbury Rd, Cambridge"
@AL,RF Apple,Refer to Apple Inc
@AM,RF Bell & Howell,"Re. Bell & Howell, The Old Hospital, Ardingly Rd, Cuckfield, Surrey RH17 5JR"
@AP,RF Asser Press,Refer to TMC Asser Press Tel +31 (0) 70 3420800)
@AR,RF Adobe Reader,Adobe Reader ebooks available from      ebook.com
@AS,RF CUP Asia,Refer to Cambridge University Press Asian Branch
@AT,RF Academy Television,"Refer to Academy Television, 104 Kirkstall Road, Leeds"
@BB,RF Baker,"Refer to Baker Book House, PO Box 6287, GRAND RAPIDS MI 49516-6287"
@BE,RF Bell & Howell,"300 North Zeeb Road, PO Box 1346 Ann Arbor MI 48106-1346, USA"
@BI,RF Bibles,Refer to Bibles                         Contact A Taylor x5586 or C Wright x5004
@BK,RF Press Bookshop,"Only available directly from CUP Bookshop, 1 Trinity Street, CAMBRIDGE CB2 1SZ"
@BL,Akili Blankpage,eBooks available from eBooks.com
@BM,RF British Museum,"Re: The Natural History Museum, Publishing Div, Cromwell Rd, London, SW7 5BD"
@BN,RF Barns & Noble ebook,Barnes & Noble ebooks
@BO,RF Blio,"Blio eBook, www.blio.com"
@BP,RF Blackwell Publishing,Refer to Blackwell Publishing
@BS,RF Biochemical Society,"Refer to The Biochemical Society, Commerce Way, Colchester, Essex CO2 8HP"
@BT,RF Baker and Taylor,Baker & Taylor ebook available from     http://www.informata.com/eshop.cfm?id=25
@BZ,RF CUP Brazil,Refer to Cambridge University Press Brazil Branch
@CA,RF Currency Press,Distribution transferred to UniReps.  Please contact them on 02 96640999.
@CB,RF North America,Restricted item refer to collegesales@cambridge.org
@CF,RF Editiorial CLE,Editorial CLE International
@CH,RF Linnean Soc,"Re: Linnean Society of London, Burlington House, Piccadilly, London W1V 0CQ"
@CI,RF CID,"Refer to C.I.D., 131 Boulevard Saint-Michel, 75005 Paris, France"
@CL,RF CSLI Pubs,"Refer to CSLI Publications,Ventura Hall,Stanford Univ,Stanford CA94305-4115 USA"
@CM,Communications Unit,"Refer to:Geoff Staff,Cambridge Univ Press,Shaftesbury Rd Cambridge CB2 2RU"
@CN,Curan Associates,"Refer to Curan Associates, curran@proceedings.com"
@CP,RF Duckworth,"Ref: Gerald Duckworth & Co Ltd, 61 Frith Street London, W1V 5TA"
@CS,RF School Classics Proj,"Re: Camb School Classics Proj, 3 Benet Place, Lensfield Road, Camb, CB2 1EL"
@CU,RF University Library,"Refer to Cambridge University Library, West Road, Cambridge CB3 9DR"
@DI,RF CUP India,Refer to Cambridge University Press India Branch
@DP,RF Charles Griffin,"Refer to Charles Griffin & Co Ltd, 4-10 Darnley Street, Glasgow G42 2SD"
@EA,RF Ediciones,"Refer to Ediciones AKAL,C/Sector ForestaMadrid (akal.pedidos@akal.com)"
@EB,RF eBook,eBooks eBook available from eBook.com
@EC,RF Joe Lynas,Refer to Joe Lynas at Cambridge University Press
@ED,RF Dawsonera,Refer Dawsonera
@EE,Audible,Audible eBook
@EF,RF Eric Freeman,Restricted item refer to North America  College Sales 866 257 3385 x 6
@EG,RF Editorial Edinumen,Refer to Editorial Edinumen             Tel (+34)913085142
@EH,R2 Digital Library,Refer to www.r2library.com
@EJ,ePub eBook,ePub ebook available from www.eBooks.com
@EL,RF PalmLearn,PalmLearn Electronic Versions
@EM,Mobipocket eBook,Mobipocket eBook available from www.eBooks.com
